ID	Side	Element	Hum_01	Hum_02	Hum_03	Hum_04	Hum_05
DS	Left	Humerus	322.5	63	51.1	21.9	17.3
DS	Left	Humerus	296	60	46.9	24	19.5
DS	Left	Humerus	287	63	46	24.9	20.2
DS	Left	Humerus	296.5	63	45.9	23.6	20
DS	Left	Humerus	344.5	63	48	24.6	18.8
DS	Left	Humerus	282	51	40	18.8	13.2
DS	Left	Humerus	287.5	58.5	41.7	21.3	16.3
DS	Left	Humerus	318.5	62.5	46.5	23.1	19.1
DS	Left	Humerus	327	67	50.3	23.1	18.5
DS	Left	Humerus	303.5	56	42.3	22.9	19
DS	Left	Humerus	319.5	62	42.4	23.1	16
DS	Left	Humerus	304.5	58.5	43.7	23.3	18.9
2013-115-I-01	Left	Humerus	350	63	48	25	19
2013-116-I-01	Left	Humerus	366	64.5	50	26	18.5
2013-120-I-01	Left	Humerus	349	66	50	23	20
2013-151-I-01	Left	Humerus	340	58.5	46.7	20.3	15.2
2013-176-I-01	Left	Humerus	332	62	42	22	19
2013-204-I-01	Left	Humerus	335	60	51	27	22
2013-213-I-01	Left	Humerus	353	56.9	45.4	20.2	15.6
