ID	Side	Element	Hum_01R	Hum_02R	Hum_03R	Hum_04R	Hum_05R
Humerus_R113	Right	Humerus	358	68	52.3	24.8	20.4
Humerus_R114	Right	Humerus	343	61	44	16	22
Humerus_R115	Right	Humerus	343	70	48	24	20
Humerus_R116	Right	Humerus	324	59	49	22	18
Humerus_R117	Right	Humerus	310	57	43	24	19
Humerus_R118	Right	Humerus	338	59	46.4	21.8	17.3
Humerus_R119	Right	Humerus	325	64	50.4	24.4	17.3
Humerus_R120	Right	Humerus	298.5	59.5	46.6	25	19.8
Humerus_R121	Right	Humerus	291	65	46.8	26.1	20.6
Humerus_R122	Right	Humerus	301	63.5	46.3	24.5	19.6
Humerus_R123	Right	Humerus	348.5	64	50.3	26.5	20.5
Humerus_R124	Right	Humerus	286.5	50.5	40.8	18.4	14
Humerus_R125	Right	Humerus	292	58.5	42.1	23.2	16.2
Humerus_R126	Right	Humerus	322	62	48.4	23.9	19.2
Humerus_R127	Right	Humerus	328	69	50.4	23.1	18.5
Humerus_R128	Right	Humerus	308	57	42.4	23.2	18.2
Humerus_R129	Right	Humerus	327	64	44.6	23.9	17
Humerus_R130	Right	Humerus	315	59	42.9	21.7	18.5
Humerus_R131	Right	Humerus	349	64	48	27	19
Humerus_R132	Right	Humerus	374	63.7	50.7	26.9	19.5
Humerus_R133	Right	Humerus	350	66	50	24	20
Humerus_R134	Right	Humerus	339	59.9	46.1	21.1	15
Humerus_R135	Right	Humerus	333	63	44	22	19
Humerus_R136	Right	Humerus	332	66	52	28	23
Humerus_R137	Right	Humerus	350.5	55.5	44.7	20.2	16.2
