ID	Side	Element	Hum_01	Hum_02	Hum_03	Hum_04	Hum_05
Humerus_L113	Left	Humerus	359	65	51	23	20.3
Humerus_L114	Left	Humerus	337	61	43	16	21
Humerus_L115	Left	Humerus	343	68	47	24	19
Humerus_L116	Left	Humerus	326	59	49	21	17
Humerus_L117	Left	Humerus	310	56	42	22	19
Humerus_L118	Left	Humerus	333	60.5	46.4	21.7	16.6
Humerus_L119	Left	Humerus	322.5	63	51.1	21.9	17.3
Humerus_L120	Left	Humerus	296	60	46.9	24	19.5
Humerus_L121	Left	Humerus	287	63	46	24.9	20.2
Humerus_L122	Left	Humerus	296.5	63	45.9	23.6	20
Humerus_L123	Left	Humerus	344.5	63	48	24.6	18.8
Humerus_L124	Left	Humerus	282	51	40	18.8	13.2
Humerus_L125	Left	Humerus	287.5	58.5	41.7	21.3	16.3
Humerus_L126	Left	Humerus	318.5	62.5	46.5	23.1	19.1
Humerus_L127	Left	Humerus	327	67	50.3	23.1	18.5
Humerus_L128	Left	Humerus	303.5	56	42.3	22.9	19
Humerus_L129	Left	Humerus	319.5	62	42.4	23.1	16
Humerus_L130	Left	Humerus	304.5	58.5	43.7	23.3	18.9
Humerus_L131	Left	Humerus	350	63	48	25	19
Humerus_L132	Left	Humerus	366	64.5	50	26	18.5
Humerus_L133	Left	Humerus	349	66	50	23	20
Humerus_L134	Left	Humerus	340	58.5	46.7	20.3	15.2
Humerus_L135	Left	Humerus	332	62	42	22	19
Humerus_L136	Left	Humerus	335	60	51	27	22
Humerus_L137	Left	Humerus	353	56.9	45.4	20.2	15.6
